method_glfc, task_size_6, learning_rate_0.1, started_at_20260406_211404
Task: 0, Round: 0 | TrainLoss: 0.3759 | EvalLoss: 3.1237 | Acc: 24.00% | Prec: 13.56% | Rec: 30.84% | F1: 17.64%
Task: 0, Round: 1 | TrainLoss: 0.1394 | EvalLoss: 2.7599 | Acc: 23.98% | Prec: 7.00% | Rec: 30.75% | F1: 11.35%
Task: 0, Round: 2 | TrainLoss: 0.0846 | EvalLoss: 2.5069 | Acc: 24.01% | Prec: 6.97% | Rec: 30.86% | F1: 11.30%
Task: 0, Round: 3 | TrainLoss: 0.0645 | EvalLoss: 2.3120 | Acc: 24.11% | Prec: 6.97% | Rec: 31.25% | F1: 11.07%
Task: 0, Round: 4 | TrainLoss: 0.0540 | EvalLoss: 2.1586 | Acc: 24.15% | Prec: 6.99% | Rec: 31.41% | F1: 11.11%
Task: 1, Round: 5 | TrainLoss: 0.1132 | EvalLoss: 2.6001 | Acc: 18.14% | Prec: 2.67% | Rec: 15.64% | F1: 4.42%
Task: 1, Round: 6 | TrainLoss: 0.1109 | EvalLoss: 2.5507 | Acc: 18.17% | Prec: 2.95% | Rec: 15.70% | F1: 4.71%
Task: 1, Round: 7 | TrainLoss: 0.1096 | EvalLoss: 2.5153 | Acc: 18.18% | Prec: 2.96% | Rec: 15.74% | F1: 4.72%
Task: 1, Round: 8 | TrainLoss: 0.1088 | EvalLoss: 2.4897 | Acc: 18.19% | Prec: 2.96% | Rec: 15.76% | F1: 4.72%
Task: 1, Round: 9 | TrainLoss: 0.1082 | EvalLoss: 2.4712 | Acc: 18.19% | Prec: 2.96% | Rec: 15.76% | F1: 4.73%
Task: 2, Round: 10 | TrainLoss: 0.1325 | EvalLoss: 2.7386 | Acc: 14.76% | Prec: 1.55% | Rec: 10.57% | F1: 2.59%
Task: 2, Round: 11 | TrainLoss: 0.1284 | EvalLoss: 2.6821 | Acc: 14.75% | Prec: 1.54% | Rec: 10.55% | F1: 2.59%
Task: 2, Round: 12 | TrainLoss: 0.1258 | EvalLoss: 2.6525 | Acc: 14.73% | Prec: 1.54% | Rec: 10.51% | F1: 2.58%
Task: 2, Round: 13 | TrainLoss: 0.1243 | EvalLoss: 2.6391 | Acc: 14.73% | Prec: 1.53% | Rec: 10.50% | F1: 2.57%
Task: 2, Round: 14 | TrainLoss: 0.1235 | EvalLoss: 2.6329 | Acc: 14.72% | Prec: 1.52% | Rec: 10.49% | F1: 2.56%
Task: 3, Round: 15 | TrainLoss: 0.1239 | EvalLoss: 2.6734 | Acc: 14.28% | Prec: 1.18% | Rec: 7.54% | F1: 2.03%
Task: 3, Round: 16 | TrainLoss: 0.1229 | EvalLoss: 2.6757 | Acc: 14.34% | Prec: 1.16% | Rec: 7.63% | F1: 2.02%
Task: 3, Round: 17 | TrainLoss: 0.1221 | EvalLoss: 2.6823 | Acc: 14.37% | Prec: 1.14% | Rec: 7.69% | F1: 1.99%
Task: 3, Round: 18 | TrainLoss: 0.1214 | EvalLoss: 2.6904 | Acc: 14.40% | Prec: 1.12% | Rec: 7.73% | F1: 1.96%
Task: 3, Round: 19 | TrainLoss: 0.1208 | EvalLoss: 2.6987 | Acc: 14.42% | Prec: 1.10% | Rec: 7.76% | F1: 1.93%
Task: 4, Round: 20 | TrainLoss: 0.0961 | EvalLoss: 2.6965 | Acc: 14.40% | Prec: 0.89% | Rec: 6.20% | F1: 1.55%
Task: 4, Round: 21 | TrainLoss: 0.0960 | EvalLoss: 2.7022 | Acc: 14.43% | Prec: 0.86% | Rec: 6.24% | F1: 1.51%
Task: 4, Round: 22 | TrainLoss: 0.0957 | EvalLoss: 2.7082 | Acc: 14.44% | Prec: 0.84% | Rec: 6.25% | F1: 1.47%
Task: 4, Round: 23 | TrainLoss: 0.0956 | EvalLoss: 2.7134 | Acc: 14.44% | Prec: 0.84% | Rec: 6.26% | F1: 1.48%
Task: 4, Round: 24 | TrainLoss: 0.0953 | EvalLoss: 2.7185 | Acc: 14.45% | Prec: 0.84% | Rec: 6.28% | F1: 1.46%
Task: 5, Round: 25 | TrainLoss: 0.1102 | EvalLoss: 2.8255 | Acc: 13.69% | Prec: 0.74% | Rec: 5.60% | F1: 1.27%
Task: 5, Round: 26 | TrainLoss: 0.1093 | EvalLoss: 2.8278 | Acc: 13.68% | Prec: 0.74% | Rec: 5.59% | F1: 1.27%
Task: 5, Round: 27 | TrainLoss: 0.1086 | EvalLoss: 2.8285 | Acc: 13.67% | Prec: 0.74% | Rec: 5.58% | F1: 1.27%
Task: 5, Round: 28 | TrainLoss: 0.1080 | EvalLoss: 2.8310 | Acc: 13.66% | Prec: 0.71% | Rec: 5.56% | F1: 1.23%
Task: 5, Round: 29 | TrainLoss: 0.1074 | EvalLoss: 2.8347 | Acc: 13.65% | Prec: 0.70% | Rec: 5.56% | F1: 1.22%
